Date,Open,High,Low,Close,Volume
11/06/2024,"222.61","226.07","221.19","222.72","54,561,121"
11/05/2024,"221.80","223.95","221.14","223.45","28,111,340"
11/04/2024,"220.99","222.79","219.71","222.01","44,944,473"
11/01/2024,"220.97","225.35","220.27","222.91","65,276,738"
10/31/2024,"229.34","229.83","225.37","225.91","64,370,090"
10/30/2024,"232.61","233.47","229.55","230.10","47,070,910"
10/29/2024,"233.10","234.33","232.32","233.67","35,417,246"
10/28/2024,"233.32","234.73","232.55","233.40","36,087,129"
10/25/2024,"229.74","233.22","229.57","231.41","38,802,301"
10/24/2024,"229.98","230.82","228.41","230.57","31,109,500"
10/23/2024,"234.08","235.14","227.76","230.76","52,286,980"
10/22/2024,"233.89","236.22","232.60","235.86","38,846,578"
10/21/2024,"234.45","236.85","234.45","236.48","36,254,473"
10/18/2024,"236.18","236.18","234.01","235.00","46,431,473"
10/17/2024,"233.43","233.85","230.52","232.15","32,993,809"
10/16/2024,"231.60","232.12","229.84","231.78","34,082,238"
10/15/2024,"233.61","237.49","232.37","233.85","64,751,367"
10/14/2024,"228.70","231.73","228.60","231.30","39,882,090"
10/11/2024,"229.30","229.41","227.34","227.55","31,759,189"
10/10/2024,"227.78","229.50","227.17","229.04","28,183,539"
10/09/2024,"225.23","229.75","224.83","229.54","33,591,090"
10/08/2024,"224.30","225.98","223.25","225.77","31,855,689"
10/07/2024,"224.50","225.69","221.33","221.69","39,505,352"
